股票名称,股票代码,首次入选日期,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-27,2026-05-20
怡达股份,300721,2026-05-20,,,,,,32.8
威龙股份,603779,2026-05-20,,,,,,13.2
新天科技,300259,2026-05-20,,,,,,6.99
海星股份,603115,2026-05-20,,,,,,97.55
达实智能,2421,2026-05-20,,,,,,4.27
合肥城建,2208,2026-05-20,,,,,,25.88
唯特偶,301319,2026-05-20,,,,,,92.01
利仁科技,1259,2026-05-20,,,,,,80.4
贵州燃气,600903,2026-05-20,,,,,,9.82
密封科技,301020,2026-05-20,,,,,,30.81
三丰智能,300276,2026-05-21,,,,,,
弘信电子,300657,2026-05-21,,,,,,
诚邦股份,603316,2026-05-21,,,,,,
绿通科技,301322,2026-05-21,,,,,,
凯迪股份,605288,2026-05-21,,,,,,
艾华集团,603989,2026-05-22,,,,,,
利和兴,301013,2026-05-22,,,,,,
大众交通,600611,2026-05-22,,,,,,
力诺药包,301188,2026-05-22,,,,,,
风华高科,636,2026-05-22,,,,,,
三祥新材,603663,2026-05-26,,,,,,
长电科技,600584,2026-05-26,,,,,,
恒林股份,603661,2026-05-26,,,,,,
国科微,300672,2026-05-27,,,,,,
华大九天,301269,2026-05-27,,,,,,
金利华电,300069,2026-05-27,,,,,,
秋田微,300939,2026-05-27,,,,,,
力量钻石,301071,2026-05-27,,,,,,
龙磁科技,300835,2026-05-27,,,,,,
泰坦股份,3036,2026-05-27,,,,,,
商络电子,300975,2026-05-28,,,,,,
四方达,300179,2026-05-28,,,,,,
科瑞技术,2957,2026-05-28,,,,,,
香江控股,600162,2026-05-28,,,,,,
华电能源,600726,2026-05-28,,,,,,
宝鼎科技,2552,2026-05-28,,,,,,
华塑控股,509,2026-05-28,,,,,,
云汉芯城,301563,2026-05-28,,,,,,
沃格光电,603773,2026-06-01,,,,,,
合锻智能,603011,2026-06-01,,,,,,
华能蒙电,600863,2026-06-01,,,,,,
泓淋电力,301439,2026-06-01,,,,,,
中京电子,2579,2026-06-01,,,,,,
粤电力A,539,2026-06-01,,,,,,
节能铁汉,300197,2026-06-03,,,,,,
火炬电子,603678,2026-06-03,,,,,,
天地在线,2995,2026-06-03,,,,,,
东杰智能,300486,2026-06-03,,,,,,
江苏国信,2608,2026-06-04,,,,,,
金时科技,2951,2026-06-04,,,,,,
华是科技,301218,2026-06-04,,,,,,
洁美科技,2859,2026-06-04,,,,,,
豫能控股,1896,2026-06-04,,,,,,
麦捷科技,300319,2026-06-04,,,,,,
五洋自控,300420,2026-06-05,,,,,,
大有能源,600403,2026-06-05,,,,,,
钧崴电子,301458,2026-06-05,,,,,,
金海高科,603311,2026-06-05,,,,,,
多浦乐,301528,2026-06-05,,,,,,
中重科技,603135,2026-06-05,,,,,,
瑜欣电子,301107,2026-06-05,,,,,,
红星发展,600367,2026-06-05,,,,,,
福达合金,603045,2026-06-08,,,,,,
津膜科技,300334,2026-06-08,,,,,,
中捷精工,301072,2026-06-08,,,,,,
新莱应材,300260,2026-06-09,,,,,,
金安国纪,2636,2026-06-09,,,,,,
凡拓数创,301313,2026-06-09,,,,,,
泰和新材,2254,2026-06-09,,,,,,
埃斯顿,2747,2026-06-09,,,,,,
长华集团,605018,2026-06-09,,,,,,
长江通信,600345,2026-06-11,,,,,,
皖维高新,600063,2026-06-11,,,,,,
华资实业,600191,2026-06-11,,,,,,
三峡新材,600293,2026-06-11,,,,,,
莲花控股,600186,2026-06-11,,,,,,
亨通股份,600226,2026-06-11,,,,,,
有研新材,600206,2026-06-11,,,,,,
东安动力,600178,2026-06-11,,,,,,
城市传媒,600229,2026-06-11,,,,,,
中视传媒,600088,2026-06-11,,,,,,
浦发银行,600000,2026-06-15,,,,,,
白云机场,600004,2026-06-15,,,,,,
冠城新材,600067,2026-06-16,,,,,,
华锡有色,600301,2026-06-16,,,,,,
巨化股份,600160,2026-06-16,,,,,,
兴发集团,600141,2026-06-16,,,,,,
诺德股份,600110,2026-06-16,,,,,,
中国巨石,600176,2026-06-16,,,,,,
生益科技,600183,2026-06-16,,,,,,
返利科技,600228,2026-06-16,,,,,,
