code,name,price,change_pct,final_score,profit_probability,action,trend_status,buy_signal,summary
sz.002038,sz.002038,6.25,10.0352,45.0,0.45,观察,空头排列,观望,观察，总分45.0，空头排列，来源于低位涨停换手率策略，偏离MA5过大，疑似追高
sh.601018,sh.601018,4.14,1.9704,35.0,0.35,观察,空头排列,持有,观察，总分35.0，空头排列，来源于神奇九转策略，跌破MA20
sz.000958,sz.000958,6.63,1.8433,34.0,0.34,观察,空头排列,持有,观察，总分34.0，空头排列，来源于神奇九转策略，跌破MA20
sz.300510,sz.300510,4.72,1.0707,33.0,0.33,观察,空头排列,持有,观察，总分33.0，空头排列，来源于神奇九转策略，跌破MA20
sh.600131,sh.600131,20.55,1.4314,31.0,0.31,观察,弱势空头,持有,观察，总分31.0，弱势空头，来源于神奇九转策略，跌破MA20
sh.600525,sh.600525,5.41,2.0755,29.0,0.29,观察,弱势空头,持有,观察，总分29.0，弱势空头，来源于神奇九转策略，跌破MA20
sz.301075,sz.301075,80.55,3.256,28.0,0.28,观察,弱势空头,持有,观察，总分28.0，弱势空头，来源于神奇九转策略，跌破MA20
sh.603933,sh.603933,22.3,10.0148,26.0,0.26,观察,空头排列,强烈卖出,观察，总分26.0，空头排列，来源于低位涨停换手率策略，偏离MA5过大，疑似追高；MACD偏空
sh.688517,sh.688517,18.54,2.3744,25.0,0.25,观察,空头排列,持有,观察，总分25.0，空头排列，来源于神奇九转策略，跌破MA20
sh.601567,sh.601567,28.09,0.6089,20.0,0.2,观察,弱势空头,持有,观察，总分20.0，弱势空头，来源于神奇九转策略，跌破MA20
