POS,market,sec_code,sec_name,now_price,chg,所属行业,现价.前复权<br>2026.04.300#,收盘价.前复权<br>2026.04.30,开盘价.前复权<br>2026.04.30,最高价.前复权<br>2026.04.30,最低价.前复权<br>2026.04.30
1,1,688256,寒武纪,1699.96,20.00,@半导体@,1699.96,1699.96,1475.00,1699.96,1475.00
2,1,688498,源杰科技,1571.00,3.70,@半导体@,1571.00,1571.00,1535.00,1610.31,1497.48
3,1,600519,贵州茅台,1384.79,-1.17,@酿酒@,1384.79,1384.79,1400.00,1401.17,1380.00
4,1,688808,C联讯,1033.33,11.35,@通用设备@,1033.33,1033.33,911.00,1060.00,911.00
5,0,300308,中际旭创,857.50,1.48,@通信设备@,857.50,857.50,863.66,874.65,845.00
6,1,688802,沐曦股份-U,758.03,6.26,@半导体@,758.03,758.03,713.01,777.00,713.01
7,1,688795,摩尔线程-U,715.70,3.78,@半导体@,715.70,715.70,690.00,732.99,690.00
8,1,688027,国盾量子,572.19,2.39,@通信设备@,572.19,572.19,557.00,572.50,555.00
9,2,920045,蘅东光,551.02,-3.42,@通信设备@,551.02,551.02,561.10,578.00,542.52
10,0,002371,北方华创,536.99,5.15,@半导体@,536.99,536.99,519.18,541.16,507.09
